Datetime,Open,High,Low,Close
2024-08-01 00:00:00+00:00,83870.16500000001,83947.795,83858.995,83897.455
2024-08-01 00:30:00+00:00,83898.29000000001,83901.08499999999,83788.83499999999,83862.79000000001
2024-08-01 01:00:00+00:00,83859.35,83912.01000000001,83796.065,83820.08499999999
2024-08-01 01:30:00+00:00,83820.495,83884.435,83712.875,83750.56
2024-08-01 02:00:00+00:00,83751.135,83806.39,83693.81,83783.85
2024-08-01 02:30:00+00:00,83788.70999999999,83793.81,83719.92499999999,83733.285
2024-08-01 03:00:00+00:00,83733.0,83760.47,83693.64,83740.205
2024-08-01 03:30:00+00:00,83740.255,83788.68,83720.57999999999,83780.17499999999
2024-08-01 04:00:00+00:00,83780.26999999999,83788.745,83743.355,83774.89
2024-08-01 04:30:00+00:00,83775.15,83795.93,83763.35,83763.535
2024-08-01 05:00:00+00:00,83764.54999999999,83786.825,83734.48999999999,83740.41500000001
2024-08-01 05:30:00+00:00,83737.67499999999,83873.27,83721.935,83853.15
2024-08-01 06:00:00+00:00,83846.98,83865.755,83717.78,83812.885
2024-08-01 06:30:00+00:00,83816.22,83935.635,83782.945,83899.52
2024-08-01 07:00:00+00:00,83898.69,84043.6,83707.85,83747.05
2024-08-01 07:30:00+00:00,83750.01000000001,83801.86,83623.0,83676.325
2024-08-01 08:00:00+00:00,83678.47,83737.94,83588.12,83620.07
2024-08-01 08:30:00+00:00,83618.85500000001,83622.58499999999,83354.285,83363.35
2024-08-01 09:00:00+00:00,83365.83499999999,83565.88,83347.495,83549.29000000001
2024-08-01 09:30:00+00:00,83541.91,83603.175,83512.13,83585.25
2024-08-01 10:00:00+00:00,83584.095,83685.10500000001,83532.73000000001,83665.245
2024-08-01 10:30:00+00:00,83660.14,83797.965,83595.935,83752.85500000001
2024-08-01 11:00:00+00:00,83753.27,83970.5,83753.27,83897.89000000001
2024-08-01 11:30:00+00:00,83892.86,83915.375,83600.03,83611.155
2024-08-01 12:00:00+00:00,83614.265,83710.20999999999,83597.89499999999,83710.20999999999
2024-08-01 12:30:00+00:00,83711.515,83824.13,83641.155,83754.62
2024-08-01 13:00:00+00:00,83749.69,83933.34,83737.375,83915.66
2024-08-01 13:30:00+00:00,83913.06,84034.88,83694.125,83756.26999999999
2024-08-01 14:00:00+00:00,83749.4,83749.48999999999,83017.79000000001,83022.92499999999
2024-08-01 14:30:00+00:00,83019.94,83049.91,82722.94,82800.015
2024-08-01 15:00:00+00:00,82798.06,82848.015,82667.83499999999,82763.045
2024-08-01 15:30:00+00:00,82758.0,82843.03,82608.03,82724.85
2024-08-01 16:00:00+00:00,82725.045,82797.91,82627.54000000001,82698.135
2024-08-01 16:30:00+00:00,82698.03,82700.045,82567.465,82665.01500000001
2024-08-01 17:00:00+00:00,82670.0,82691.22,82584.91,82655.505
2024-08-01 17:30:00+00:00,82654.83499999999,82733.95,82584.97,82725.015
2024-08-01 18:00:00+00:00,82725.045,82796.28,82630.03,82694.91
2024-08-01 18:30:00+00:00,82695.625,82793.9,82649.85,82761.23
2024-08-01 19:00:00+00:00,82754.805,82938.475,82737.79000000001,82925.715
2024-08-01 19:30:00+00:00,82929.07,83074.97,82823.09,83007.85
2024-08-01 20:00:00+00:00,83004.39,83073.32500000001,82718.88,82876.79500000001
2024-08-01 22:00:00+00:00,82960.03,83017.88,82778.89499999999,82951.25
2024-08-01 22:30:00+00:00,82949.29500000001,82977.595,82752.12,82843.0
2024-08-01 23:00:00+00:00,82837.55,82975.16,82796.565,82943.83
2024-08-01 23:30:00+00:00,82944.81,82970.045,82854.41500000001,82860.86
2024-08-02 00:00:00+00:00,82942.94,82974.97,82822.955,82878.105
2024-08-02 00:30:00+00:00,82874.985,82933.015,82809.45,82909.94
2024-08-02 01:00:00+00:00,82909.95499999999,82935.09,82859.85,82899.97
2024-08-02 01:30:00+00:00,82903.10500000001,83023.16500000001,82885.045,82930.03
2024-08-02 02:00:00+00:00,82929.985,82937.94,82634.85,82704.97
2024-08-02 02:30:00+00:00,82705.03,82778.595,82654.555,82775.07500000001
2024-08-02 03:00:00+00:00,82779.94,82903.10500000001,82779.94,82903.10500000001
2024-08-02 03:30:00+00:00,82903.015,82973.015,82885.0,82919.97
2024-08-02 04:00:00+00:00,82920.04500000001,82958.43,82904.805,82904.805
2024-08-02 04:30:00+00:00,82905.045,82944.83499999999,82767.95499999999,82805.16500000001
2024-08-02 05:00:00+00:00,82804.86499999999,82884.94,82747.895,82794.86499999999
2024-08-02 05:30:00+00:00,82798.09,82805.535,82479.94,82533.015
2024-08-02 06:00:00+00:00,82508.09,82577.895,82313.745,82313.745
2024-08-02 06:30:00+00:00,82310.885,82413.245,82044.295,82300.06
2024-08-02 07:00:00+00:00,82304.97,82731.99,82167.21,82483.77
2024-08-02 07:30:00+00:00,82484.555,82546.585,82339.98,82530.65
2024-08-02 08:00:00+00:00,82525.63,82703.03,82493.075,82610.91500000001
2024-08-02 08:30:00+00:00,82608.73999999999,82684.34,82540.65,82650.58
2024-08-02 09:00:00+00:00,82647.965,82675.03,82453.37,82453.445
2024-08-02 09:30:00+00:00,82456.89,82507.83499999999,82315.98999999999,82370.15
2024-08-02 10:00:00+00:00,82371.45999999999,82429.985,82267.07,82415.62
2024-08-02 10:30:00+00:00,82414.13500000001,82568.44,82324.63,82480.115
2024-08-02 11:00:00+00:00,82487.435,82604.94,82430.36499999999,82450.29500000001
2024-08-02 11:30:00+00:00,82448.42,82644.985,82392.805,82612.235
2024-08-02 12:00:00+00:00,82609.26000000001,82835.715,82599.39,82807.13500000001
2024-08-02 12:30:00+00:00,82803.945,82829.555,82243.09,82248.225
2024-08-02 13:00:00+00:00,82247.12,82318.735,82015.0,82040.61
2024-08-02 13:30:00+00:00,82047.855,82191.195,81932.555,82059.555
2024-08-02 14:00:00+00:00,82065.41,82188.315,81617.89499999999,81735.84
2024-08-02 14:30:00+00:00,81729.48,81927.9,81698.15,81711.08
2024-08-02 15:00:00+00:00,81710.015,81742.75,81569.58,81630.92
2024-08-02 15:30:00+00:00,81633.70000000001,81912.01,81622.88,81864.94
2024-08-02 16:00:00+00:00,81865.015,81949.135,81757.955,81925.07500000001
2024-08-02 16:30:00+00:00,81929.89499999999,82026.35,81879.85,81975.15
2024-08-02 17:00:00+00:00,81980.07500000001,82021.74,81864.91,81934.58499999999
2024-08-02 17:30:00+00:00,81935.015,81950.18,81845.0,81854.39
2024-08-02 18:00:00+00:00,81853.06,82050.09,81784.91,82045.49
2024-08-02 18:30:00+00:00,82044.555,82074.21,81907.955,81990.16500000001
2024-08-02 19:00:00+00:00,81993.15,82085.27,81889.98499999999,82077.97
2024-08-02 19:30:00+00:00,82075.16500000001,82263.16500000001,81964.91,82189.94
2024-08-02 20:00:00+00:00,82194.97,82194.97,82194.97,82194.97
2024-08-05 00:00:00+00:00,81729.985,81963.485,81580.81,81712.985
2024-08-05 00:30:00+00:00,81712.68,81712.895,81448.75,81512.0
2024-08-05 01:00:00+00:00,81511.92,81624.22,81359.17000000001,81418.565
2024-08-05 01:30:00+00:00,81420.015,81746.815,81414.765,81653.575
2024-08-05 02:00:00+00:00,81653.16500000001,81780.755,81504.695,81686.73
2024-08-05 02:30:00+00:00,81686.765,81752.925,81526.94,81674.41
2024-08-05 03:00:00+00:00,81674.625,81742.66,81599.795,81633.055
2024-08-05 03:30:00+00:00,81633.18,81641.95499999999,81418.47,81440.04500000001
2024-08-05 04:00:00+00:00,81439.005,81453.12,81202.64,81306.015
2024-08-05 04:30:00+00:00,81306.455,81325.05,80999.82,81037.295
2024-08-05 05:00:00+00:00,81032.38,81077.095,80806.13,80912.29000000001
2024-08-05 05:30:00+00:00,80907.14,80909.63,80477.065,80657.11
2024-08-05 06:00:00+00:00,80652.56,80872.83499999999,80247.01000000001,80277.115
2024-08-05 06:30:00+00:00,80279.925,80585.32500000001,80071.86,80299.405
2024-08-05 07:00:00+00:00,80299.89499999999,80414.10500000001,79701.29,79859.645
2024-08-05 07:30:00+00:00,79851.94,80179.92,79737.81,79910.96
2024-08-05 08:00:00+00:00,79910.0,80245.13500000001,79789.985,80023.125
2024-08-05 08:30:00+00:00,80019.955,80139.985,79859.24,79968.14
2024-08-05 09:00:00+00:00,79965.86,80132.505,79771.76000000001,80102.205
